氹仔,22.1572905853,8426.97
氹仔,22.1621097211,6689.9
氹仔,22.1570719814,4854.09
氹仔,22.1616526555,6440.68
氹仔,22.1575688079,5266.67
氹仔,22.1577377286,6122.78
氹仔,22.1621892106,5704.47
氹仔,22.1575688079,7788.65
氹仔,22.1577377286,6362.72
氹仔,22.1616526555,6677.97
氹仔,22.1584829642,5997.99
氹仔,22.1569527428,6182.97
氹仔,22.1577377286,6464.03
氹仔,22.1583438538,6993.87
氹仔,22.1570719814,4868.29
氹仔,22.1585028371,6108.11
氹仔,22.1577377286,6058.76
氹仔,22.1570719814,5370.37
氹仔,22.1621892106,4901.96
氹仔,22.1555516813,6292.35
氹仔,22.1616526555,6921.88
氹仔,22.1585028371,8369.8
氹仔,22.1652296509,5297.62
氹仔,22.1616526555,6316.67
氹仔,22.1583438538,6969.33
氹仔,22.1584829642,7035.29
氹仔,22.1611459072,5846.15
氹仔,22.1606789022,7418.4
氹仔,22.1606789022,6839.46
氹仔,22.1606789022,7641.79
氹仔,22.1589797857,6175.77
氹仔,22.157866903,7357.86
氹仔,22.1602019593,7312.15
氹仔,22.1602019593,6842.37
氹仔,22.1616526555,6718.75
氹仔,22.1602019593,7299.9
氹仔,22.157866903,7311.52
氹仔,22.1570421718,7279.95
氹仔,22.1570421718,6885.03
氹仔,22.1605994118,5608.11
氹仔,22.1606789022,8085.94
氹仔,22.1606789022,7941.75
氹仔,22.1583339174,7462.69
氹仔,22.1585028371,7561.6
氹仔,22.1579993335,7565.79
氹仔,22.1602019593,8000
氹仔,22.1602019593,8356.16
氹仔,22.1602019593,8501.23
氹仔,22.1602019593,8204.62
氹仔,22.1602019593,8000
氹仔,22.1555516813,6292.35
氹仔,22.1606789022,7127.33
氹仔,22.161672528,6789.12
氹仔,22.1621097211,5932.2
氹仔,22.1570719814,5380.33
氹仔,22.1606789022,6940.06
氹仔,22.1562472455,6232.64
氹仔,22.1570421718,6717.91
氹仔,22.1612055247,7625
氹仔,22.1585028371,8450.36
氹仔,22.1611459072,6935.78
氹仔,22.1573402679,6085.27
氹仔,22.1562472455,5613.41
氹仔,22.1612055247,6969.33
氹仔,22.1621097211,6440.07
氹仔,22.1621892106,4693.88
氹仔,22.163381548,6414.17
氹仔,22.1577377286,5957.45
氹仔,22.1602019593,8418.13
氹仔,22.1602019593,10000
氹仔,22.1602019593,7814.87
氹仔,22.1584829642,6443.97
氹仔,22.157866903,7357.86
氹仔,22.1580556962,7290.4
氹仔,22.158304108,7040
氹仔,22.1524017263,6188.12
氹仔,22.1589797857,6720.43
氹仔,22.1616526555,6440.68
氹仔,22.1602019593,8345.98
氹仔,22.1570719814,5383.66
氹仔,22.1582643621,4873.42
氹仔,22.1654482421,6730.77
氹仔,22.1585823286,6165.05
氹仔,22.1585823286,6725.66
氹仔,22.1607285836,7285.71
氹仔,22.1582643621,4873.42
氹仔,22.1569527428,5537.6
氹仔,22.1524017263,7600
氹仔,22.1576483,7432.56
氹仔,22.1582643621,4794.52
氹仔,22.1570719814,5222.09
氹仔,22.1579993335,10101.01
氹仔,22.1589797857,6533.71
氹仔,22.1577377286,6300.48
氹仔,22.1602019593,7320
氹仔,22.1575688079,7666.67
氹仔,22.161672528,6789.12
氹仔,22.1586518837,7570.77
氹仔,22.1585028371,8009.42
氹仔,22.1562472455,5685.22
氹仔,22.1577377286,6565.35
氹仔,22.1606789022,7500.95
氹仔,22.1579993335,10521.89
氹仔,22.1577377286,6565.35
氹仔,22.1577377286,6261.4
氹仔,22.1583438538,6038.46
氹仔,22.1616526555,6355.93
氹仔,22.1621097211,6713.19
氹仔,22.1602019593,7994.01
氹仔,22.1569229331,7810.99
氹仔,22.1607285836,6285.71
氹仔,22.158304108,8844.44
氹仔,22.1583339174,7380
氹仔,22.1536040834,6750
氹仔,22.1583438538,7170.73
氹仔,22.1602019593,9056.32
氹仔,22.1578370935,6533.71
氹仔,22.1584829642,6030.77
氹仔,22.1585028371,8682.35
氹仔,22.1588804215,6701.49
氹仔,22.1569328697,6980.58
氹仔,22.1577377286,6382.98
氹仔,22.1576781095,7695.24
氹仔,22.1570719814,4941.63
氹仔,22.1562472455,6797.39
氹仔,22.1571812834,8174.39
氹仔,22.1570421718,72799.47
氹仔,22.1575688079,5986.21
氹仔,22.1524017263,7300
氹仔,22.1524017263,7500
氹仔,22.1570421718,7279.95
氹仔,22.1585028371,8638.92
