澳門,6800,22.2046301926,113.556060791
澳門,6106.67,22.2129539557,113.5461473465
澳門,8000,22.2112753368,113.556522131
澳門,7632.48,22.1998721159,113.553904295
澳門,7347.37,22.2123977292,113.5537326336
澳門,10279.33,22.1861830543,113.5459113121
澳門,7925.26,22.210222,113.557649
澳門,8631.23,22.2112753368,113.556522131
澳門,5469.92,22.1952827533,113.5538291931
澳門,10000,22.1879215795,113.536888361
澳門,8531.11,22.2091612386,113.5578549528
澳門,8632.27,22.1899978471,113.5396456718
澳門,9035.43,22.2053751796,113.5409975052
澳門,4063.14,22.1883785597,113.5328221321
澳門,4548.83,22.1967827563,113.5478425026
澳門,6263.6,22.208682874,113.5559105873
澳門,5682.54,22.2029514741,113.5434544086
澳門,6465.52,22.2083054234,113.5536682606
澳門,6426.55,22.2126460449,113.5480463505
澳門,5100.67,22.198262876,113.5438621044
澳門,8668.48,22.2074114572,113.5445058346
澳門,7349.54,22.2102423306,113.5554921627
澳門,7349.54,22.2102423306,113.5554921627
澳門,7658.54,22.2112184475,113.5547783436
澳門,7975,22.2112184475,113.5547783436
澳門,8458.27,22.2093583096,113.5565543175
澳門,8882.6,22.2093583096,113.5565543175
澳門,8640.23,22.2093583096,113.5565543175
澳門,8769.45,22.2093583096,113.5565543175
澳門,8458.27,22.2093583096,113.5565543175
澳門,7173.33,22.2131923379,113.5488724709
澳門,7226.46,22.2131923379,113.5488724709
澳門,7307.21,22.2131923379,113.5488724709
澳門,7235.67,22.2131923379,113.5488724709
澳門,6932.52,22.1927893355,113.5472095013
澳門,8282.21,22.1927893355,113.5472095013
澳門,8266,22.203515804,113.541477332
澳門,8390.3,22.203515804,113.541477332
澳門,6725,22.2074313232,113.5548377037
澳門,6738.46,22.2118117024,113.5526382923
澳門,7815.38,22.1944582416,113.5430574417
澳門,7075.47,22.2057526382,113.5528957844
澳門,6237.5,22.2094079738,113.5544514656
澳門,8141.11,22.2066267488,113.5397529602
澳門,6802.22,22.206457887,113.5557603836
澳門,5967.3,22.2049182547,113.5519301891
澳門,6636.36,22.206457887,113.5557603836
